X,Y,Depth,qu,Pc,e,WL,label
-50394.7949,-3793.7515,10.8,17.25970364,25.49728775,2.292999983,78.80000305,Main_mid
-50394.7949,-3793.7515,12.3,17.89713574,24.51662445,2.726999999,98.5,Main_mid
-50394.7949,-3793.7515,13.8,56.58436966,78.45320129,2.469500065,102.3000031,Main_mid
-50394.7949,-3793.7515,23.3,87.57338334,201.0363159,1.061999977,47.90000153,Main_mid
-50394.7949,-3793.7515,24.8,111.8938713,181.4230194,1.319000006,63.0,Main_mid
-50394.7949,-3793.7515,26.3,107.0886155,142.1964264,2.187999964,92.09999847,Main_mid
-50394.7949,-3793.7515,27.8,114.4436035,147.0997467,2.421500087,99.69999695,Main_mid
-50394.7949,-3793.7515,29.2,127.1922455,156.9064026,2.445500016,99.80000305,Main_mid
-50394.7949,-3793.7515,30.8,139.2053985,196.1329956,2.633999944,99.0,Main_low
-50394.7949,-3793.7515,32.3,143.1280594,176.5196838,2.434499979,99.40000153,Main_low
-50394.7949,-3793.7515,33.8,160.3877564,215.7463074,2.605499983,113.8000031,Main_low
-50394.7949,-3793.7515,35.3,142.0493164,196.1329956,2.593500018,98.90000153,Main_low
-50394.7949,-3793.7515,36.8,156.2689666,235.3596039,2.611500025,102.6999969,Main_low
-50394.7949,-3793.7515,38.2,164.7026825,220.6496277,2.687000036,108.0,Main_low
-50394.7949,-3793.7515,39.8,150.0907822,284.3928528,2.484000087,106.3000031,Main_low
-50394.7949,-3793.7515,41.3,169.9492416,285.3735046,2.426999927,92.90000153,Main_low
-50394.7949,-3793.7515,42.8,176.5687256,289.2961731,1.580500007,61.40000153,Main_low
-50394.7949,-3793.7515,44.3,141.7060852,272.6248474,1.41049999,57.79999924,Main_low
-50394.7949,-3793.7515,46.1,152.0521012,299.1028137,1.517499983,56.40000153,Main_low
-50394.7949,-3793.7515,47.6,162.2510223,304.006134,1.51700002,64.59999847,Main_low
-50487.2537,-3743.4199,7.3,15.73967266,14.70997524,1.267999947,48.79999924,Main_up
-50487.2537,-3743.4199,8.8,13.72930956,25.49728775,3.789000035,132.1000061,Main_up
-50487.2537,-3743.4199,10.3,47.36611938,59.82056427,2.462499976,97.80000305,Main_mid
-50487.2537,-3743.4199,11.8,49.47454834,96.1051712,1.447499991,45.5,Main_mid
-50487.2537,-3743.4199,17.4,71.73564148,196.1329956,1.317000002,71.30000305,Main_mid
-50487.2537,-3743.4199,21.5,87.96564866,156.9064026,1.607499957,68.09999847,Main_mid
-50487.2537,-3743.4199,23.0,92.32960511,156.9064026,1.74150002,74.69999695,Main_mid
-50487.2537,-3743.4199,24.5,101.2536545,132.3897705,1.395999968,59.79999924,Main_mid
-50487.2537,-3743.4199,26.0,97.62519838,145.1384125,2.013499975,85.0,Main_mid
-50487.2537,-3743.4199,27.5,102.8227234,156.9064026,2.453500032,103.8000031,Main_mid
-50487.2537,-3743.4199,28.9,119.3959618,137.2930908,2.391499996,101.1999969,Main_mid
-50487.2537,-3743.4199,30.4,131.0658722,156.9064026,2.578999997,97.5,Main_low
-50487.2537,-3743.4199,31.8,135.3971456,154.9450684,2.606333335,112.0,Main_low
-50487.2537,-3743.4199,33.3,114.2474709,187.3070068,2.738000036,112.9000015,Main_low
-50487.2537,-3743.4199,34.8,131.3600769,179.4617004,2.652500033,110.1999969,Main_low
-50487.2537,-3743.4199,36.3,160.927124,210.8429871,2.623999954,115.1999969,Main_low
-50487.2537,-3743.4199,37.8,130.1996206,215.7463074,2.708000024,109.0,Main_low
-50487.2537,-3743.4199,39.5,167.6446838,259.8762207,2.541999936,98.90000153,Main_low
-50487.2537,-3743.4199,41.0,153.5721359,269.6828613,2.523000002,100.9000015,Main_low
-50487.2537,-3743.4199,42.5,175.2938691,284.3928528,1.508000017,67.5,Main_low
-50487.2537,-3743.4199,44.0,147.4429779,296.1608276,1.438000023,57.0,Main_low
-50487.2537,-3743.4199,45.5,198.0943299,275.566864,1.611000002,65.19999695,Main_low
-50425.5778,-3869.3147,7.8,25.10502243,28.43928337,2.610000014,103.4000015,Main_up
-50425.5778,-3869.3147,21.8,99.24329378,156.9064026,1.875999987,81.0,Main_mid
-50425.5778,-3869.3147,23.3,101.3026886,156.9064026,2.442000032,103.5,Main_mid
-50425.5778,-3869.3147,24.8,134.3511048,225.5529327,2.423500061,107.0,Main_mid
-50425.5778,-3869.3147,26.3,119.2488633,254.9728851,2.481999994,95.40000153,Main_mid
-50425.5778,-3869.3147,27.7,151.0224152,225.5529327,2.531000019,112.0,Main_mid
-50425.5778,-3869.3147,29.3,152.9347077,235.3596039,2.499500036,110.0999985,Main_mid
-50425.5778,-3869.3147,30.8,141.0196228,225.5529327,2.630500078,111.9000015,Main_low
-50425.5778,-3869.3147,32.3,187.7973404,279.489502,2.539000034,117.8000031,Main_low
-50425.5778,-3869.3147,33.8,139.5976563,284.3928528,2.551999927,110.5,Main_low
-50425.5778,-3869.3147,35.3,166.075615,245.1662445,2.745999933,120.0,Main_low
-50425.5778,-3869.3147,36.8,167.2524109,282.4315186,2.409000039,105.6999969,Main_low
-50425.5778,-3869.3147,38.3,178.0887528,261.8375549,2.582000017,107.0,Main_low
-50425.5778,-3869.3147,39.8,173.9699707,259.8762207,1.42900002,56.29999924,Main_low
-50425.5778,-3869.3147,42.5,155.2882996,261.8375549,1.500500024,64.0,Main_low
